구군명,설치위치,설치연도,도로명 주소,지번 주소,위도,경도,데이터기준일자,횡단보도 유무
동구,명덕삼거리 교통섬(현대백화점 앞),2018,-,울산광역시 동구 서부동 27-9,35.5211868,129.4311607,2020-09-23,O
동구,남목 장승사거리(동부패밀리아파트 앞),2018,-,울산광역시 동구 동부동 150-17,35.5420144,129.4292138,2020-09-23,O
동구,홈플러스 앞,2018,-,울산광역시 동구 일산동 577-36,35.4988521,129.4280201,2020-09-23,O
동구,안산사거리(휴대폰초특가매장 앞),2020,-,울산광역시 동구 서부동 919-1,35.5407449,129.426289,2020-09-23,O
남구,옥동초사거리 경남은행 앞,2017,-,울산광역시 남구 신정동 1630-4,35.533885,129.297663,2020-09-23,O
남구,동서오거리,2017,-,울산광역시 남구 신정동 801-3,35.530653,129.3147156,2020-09-23,O
남구,대흥교회 앞 ,2017,울산광역시 남구 문수로 461(신정동),울산광역시 남구 신정동 1649-1 대흥교회,35.5331273,129.3036835,2020-09-23,O
남구,수암시장 앞,2017,-,울산광역시 남구 신정동 853-2,35.5284613,129.3199633,2020-09-23,O
남구,신정시장 IBK기업은행 앞,2018,-,울산광역시 남구 신정동 496-15,35.5433172,129.3109875,2020-09-23,O
남구,신정4동 행정복지센터 입구 새마을금고 앞,2019,-,울산광역시 남구 신정동 801-3,35.530653,129.3147156,2020-09-23,O
남구,팔등로사거리 울산신정푸르지오 앞,2020,-,울산광역시 남구 신정동 311,35.5468094,129.3158218,2020-09-23,O
남구,강남로남측사거리 강변센트럴하이츠 앞,2020,-,울산광역시 남구 신정동 326,35.5494374,129.315095,2020-09-23,O
남구,남부교회입구사거리 배스킨라빈스 앞,2020,울산광역시 남구 중앙로 268(신정동),울산광역시 남구 신정동 495-3,35.544566,129.3106142,2020-09-23,O
남구,공영주차장입구사거리 옆,2020,울산광역시 남구 수암로 37(신정동),울산광역시 남구 신정동 772-15,35.5316033,129.3123627,2020-09-23,O
